menú,producto,cantidad,unidad,empaque
16,Leche entera en polvo,15,Bolsa,380
16,Panela,9,Unidad,500
16,Carne de cerdo,60,gr,1
16,Papa capira,80,gr,1
16,Pimentón,10,gr,1
16,Cebolla cabezona,45,gr,1
16,Ajo,1,gr,1
16,Paprika,0.1,Pqt,15
16,Laurel seco,0.2,Pqt,20
16,Aceite vegetal,10,Frasco,500
16,Sal yodada,1,Bolsa,500
16,Arroz,40,Bolsa,500
16,Cebolla cabezona,45,gr,1
16,Cúrcuma,0.2,Pqt,25
17,Leche entera en polvo,15,Bolsa,380
17,Cocoa en polvo sin azúcar,5,Bolsa,230
17,Panela,9,Unidad,500
17,Huevo de gallina tipo A,55,Unidad,53
17,Plátano hartón maduro,40,gr,1
17,Aceite vegetal,10,Frasco,500
17,Sal yodada,1,Bolsa,500
17,Arroz,40,Bolsa,500
17,Cebolla cabezona,15,gr,1
17,Fruta grupo N°1,180,Unidad,180
18,Leche entera en polvo,15,Bolsa,380
18,Avena en hojuelas,10,Bolsa,200
18,Azúcar refinada,9,Bolsa,500
18,Carne de res,60,gr,1
18,Pimentón,15,gr,1
18,Cebolla cabezona,10,gr,1
18,Ajo,0.5,gr,1
18,Paprika,0.1,Pqt,15
18,Tomillo,0.1,Pqt,15
18,Aceite vegetal,13,Frasco,500
18,Sal yodada,1,Bolsa,500
18,Queso blanco o campesino,15,Pqt,500
18,Plátano hartón verde,160,gr,1
18,Aceite vegetal,13,Frasco,500
19,Leche entera en polvo,15,Bolsa,380
19,Fruta de cosecha,60,gr,1
19,Azúcar refinada,9,Bolsa,500
19,Carne de cerdo,60,gr,1
19,Cebolla cabezona,30,gr,1
19,Ajo,0.5,gr,1
19,Aceite vegetal,10,Frasco,500
19,Orégano seco,0.05,Pqt,10
19,Sal yodada,1.2,Bolsa,500
19,Arroz,40,Bolsa,500
19,Zanahoria,10,gr,1
19,Aceite vegetal,10,Frasco,500
19,Sal yodada,1.2,Bolsa,500
19,Papa capira,60,gr,1
19,Tomate chonto,20,gr,1
19,Cebolla cabezona,30,gr,1
19,Aceite vegetal,10,Frasco,500
19,Fruta grupo N°3,180,gr,1
20,Leche entera en polvo,15,Bolsa,380
20,Panela,9,Unidad,500
20,Huevo de gallina Tipo A,55,Unidad,53
20,Cebolla cabezona,18,gr,1
20,Tomate chonto,36,gr,1
20,Ajo,0.5,gr,1
20,Tomillo,0.1,Pqt,15
20,Paprika,0.1,Pqt,15
20,Sal yodada,0.9,Bolsa,500
20,Aceite vegetal,12,Frasco,500
20,Arroz,40,Bolsa,500
20,Sal yodada,0.9,Bolsa,500
20,Fríjol,20,Bolsa,250
20,Zanahoria,18,gr,1
20,Plátano hartón verde,15,gr,1
20,Cebolla junca,18,gr,1
20,Plátano hartón maduro,50,gr,1
20,Aceite vegetal,12,Frasco,500
