COD_DANE,CENTRO_EDUCATIVO,CUPOS
10510700016609,C. E. R. ALTO DE CHIRI,0
10510700016610,C. E. R. BUENAVISTA,0
20510700106007,C. E. R. EL ANIME,0
10510700016607,C. E. R. EL CHORRILLO,0
20510700106016,C. E. R. EL PESCADO,0
10510700016608,C. E. R. EL PESCADO CAPITAN,0
20510700106024,C. E. R. EL POLVILLO,0
20510700106015,C. E. R. EL RESPALDO,0
20510700106013,C. E. R. EL TURCO,0
20510700106018,C. E. R. GURIMAN,0
20510700106028,C. E. R. GURRI,0
10510700016604,C. E. R. LA AGUADA,0
20510700106019,C. E. R. LA AMERICA,0
20510700106017,C. E. R. LA CALERA,0
20510700106020,C. E. R. LA CRISTALINA,0
20510700106005,C. E. R. LA MESETA,0
20510700106011,C. E. R. LA PALESTINA,0
20510700106022,C. E. R. LA PIAMARGA,0
10510700016614,C. E. R. LA RODRIGUEZ,0
10510700016605,C. E. R. LAS CRUCES,0
20510700106023,C. E. R. LOS ALAMOS,0
20510700092630,C. E. R. LOS NARANJOS,0
10510700016611,C. E. R. MORAVIA,0
20510700106001,C. E. R. MORRON,0
20510700106025,C. E. R. OREJON,0
10510700016612,C. E. R. PALMICHAL,0
20510700106009,C. E. R. SAN EPIFANIO,0
20510700106002,C. E. R. SANTA ANA,0
10510700016602,C. E. R. SANTA ANA 2,0
20510700106026,C. E. R. SANTA MARTA,0
20510700106003,C.E.R. CHOCONTA,0
20510700106029,C.E.R. EL CEDRAL,0
10510700016616,C.E.R. EL HOYO,0
20510700106027,C.E.R. LA MOLINA,0
10510700016601,I. E. ANTONIO ROLDAN BETANCUR,0
10510700016603,I. E. R. EL ROBLAL,0
